U12345678,Parkside Interactive,Austria,2007,park_contact@parkint.aut,https://www.parkside-interactive.com/
GB985777049,Intellectsoft Software Development,Reino Unido,2007,contact@intelsoft.uk,https://intellisoft.io/
HU12345678,TheAppCompany,Hungria,2008,contact@theappcomp.hun,https://www.the-app-company.com/
ES12345679,DigitalValue,Espana,2012,contact@digvalue.es,https://www.dig-value.com/
IT1232167,NostraSoftware,Italia,2010,contact@nostra.it,https://www.nostra-software.com/
FN1232167,ElectronicArts,Francia,2005,contact@ea.com,https://www.ea.com/
GR1232167,DigitalImprovement,Grecia,2015,contact@digimp.gr,https://www.digital-improvement.com/
IR1232647,AppReborn,Irlanda,2009,contact@appreb.ir,https://www.app-reborn.com/
DE1232645120,WunderDev,Alemania,2011,contact@wunderdev.ge,https://www.wunder-developement.com/
ES12345600,IberianSw,Espana,2011,contact@iberian.es,https://www.iberian-software.com/
IT1230117,ItalicSystems,Italia,2011,contact@italicsys.it,https://www.italic-systems.com
U12345679,MajorApp,Austria,2013,contact@majorapp.aut,https://www.major-app.com
GB985777241,RoyalApp,Reino Unido,2015,contact@royalapp.uk,https://www.royal-app.com
DE1239645124,KaiserSW,Alemania,2012,contact@kaisersw.ge,https://www.kaisersw.com
123456789B01,AppleDev,Paises Bajos,2008,contact@apple-dev.nl,https://www.apple-dev.com
